Row,Card Name,Bank,Link,slug name
1,SBI Flipkart Credit Card,SBI Card,https://bitli.in/0adbi58,sbi-flipkart
2,Axis Flipkart Credit Card,Axis Bank,https://bitli.in/fnmksRa,flipkart-axis
3,BOB Eterna Credit Card,Bank of Baroda,https://bitli.in/fnmksRa,bob-eterna
4,SBI Cashback Credit Card,SBI Card,https://bitli.in/5N2Z4ml,sbi-cashback
5,Simply Click Credit Card,SBI Card,https://bitli.in/sZQEFeu,sbi-simplyclick
6,Axis Neo Rupay Credit Card,Axis Bank,https://bitli.in/fqhb20U,axis-neo
7,IndusInd Tiger Credit Card,IndusInd Bank,https://bitli.in/vd5UGzR,indusind-tiger
8,Axis Rewards Visa Credit Card,Axis Bank,https://bitli.in/M0e6dkI,axis-rewards
9,Axis MyZone Master Credit Card,Axis Bank,https://bitli.in/LNNeUnj,axis-myzone
10,Axis Privilege Amex Credit Card,Axis Bank,https://bitli.in/DnR0iQn,axis-privilege
11,Axis Privilege Credit Card,Axis Bank,https://bitli.in/X3B3YZs,axis-privilege
12,HDFC IRCTC Credit Card,HDFC Bank,https://bitli.in/yFh2DM9,irctc-hdfc
13,HDFC Millennia Credit Card,HDFC Bank,https://bitli.in/xpogJRj,hdfc-millennia
14,HDFC Pixel Play Credit Card,HDFC Bank,https://bitli.in/jBP9fln,hdfc-pixel-play
15,HDFC Pixel Go Credit Card,HDFC Bank,https://bitli.in/t43cnLV,hdfc-pixel-go
16,RBL Bank Shoprite Credit Card,RBL Bank,https://bitli.in/0365Lqf,rbl-shoprite
17,Swiggy HDFC Bank Credit Card,HDFC Bank,https://bitli.in/ug23jc1,hdfc-swiggy
18,IDFC First Credit Card,IDFC First Bank,https://bitli.in/l3refEa,IDFC First Bank
19,Tata Neu HDFC Bank Credit Card,HDFC Bank,https://bitli.in/CcltnvX,"hdfc-tata-neu-infinity,hdfc-tata-neu-plus"
20,IDFC FIRST WOW Credit Card,IDFC First Bank,https://bitli.in/I7oxr1Y,idfc-first-wow
21,HDFC Shoppers Stop Credit Card,HDFC Bank,https://bitli.in/rPgojZc,hdfc-shoppers-stop
22,SBI BPCL Credit Card,SBI Card,https://bitli.in/P2JSDb5,bpcl-sbi
23,SBI Miles Credit Card,SBI Card,https://bitli.in/6orYv1h,sbi-miles-elite
24,AU ALTURA Credit Card,AU Small Finance Bank,https://bitli.in/o5xPU6l,au-altura
25,Federal Bank Scapia Credit Card,Federal Bank,https://apply.scapia.cards/landing_page?referral_code=qsrcko,scapia-federal
26,AU ALTURA PLUS Credit Card,AU Small Finance Bank,https://bitli.in/kenpMcy,au-altura
27,SBI IRCTC Rupay Credit Card,SBI Card,https://bitli.in/iGMs2rK,irctc-sbi-premier
28,Axis Airtel Credit Card,Axis Bank,https://bitli.in/a613XSx,axis-airtel
29,Axis LIC Signature Credit Card,Axis Bank, ,axis-lic-signature
30,IndusInd Legend Credit Card,IndusInd Bank,https://bitli.in/q53avFd,indusind-legend
31,IDFC FIRST POWER CREDIT CARD,IDFC First Bank,https://bitli.in/5aR6Uk1,idfc-power-plus
32,HDFC Bank Credit Card,HDFC Bank,https://bitli.in/htq58kh,HDFC Bank
33,Axis Magnus Credit Card,Axis Bank,https://bitli.in/JpMNSa4,axis-magnus
34,AU LIT Credit Card,AU Small Finance Bank,https://bitli.in/qdxeul7,au-lit
35,IndusInd Platinum Credit Card,IndusInd Bank,https://bitli.in/03Fo4wX,"indusind-platinum-aura-edge,indusind-platinum-rupay"
36,Axis Indian Oil Rupay Credit Card,Axis Bank,https://bitli.in/wT6J0dS,axis-indianoil
